sample_index,power_watts
0,79.07
1,87.12
2,91.12
3,90.98
4,90.94
5,91.26
6,91.53
7,91.52
8,91.65
9,91.77
10,91.49
11,87.78
12,73.47
13,57.12
14,51.43
15,51.23
16,51.21
17,51.24
18,51.3
19,51.17
20,50.85
21,50.75
22,50.71
23,50.67
24,50.61
25,50.23
26,50.62
27,50.97
28,51.1
29,51.12
30,51.21
31,51.28
32,51.03
33,50.69
34,50.53
35,50.42
36,50.13
37,50.21
38,50.55
39,50.75
40,50.97
41,51.21
42,51.45
43,51.47
44,51.42
45,51.35
46,51.31
47,51.24
48,51.13
49,51.1
50,50.96
51,50.84
52,50.87
53,50.78
54,50.67
55,50.74
56,50.92
57,51.09
58,51.36
59,51.45
60,51.46
61,51.46
62,51.54
63,51.59
64,51.59
65,51.58
66,51.41
67,51.25
68,51.18
69,51.13
70,51.12
71,51.19
72,51.41
73,51.39
74,51.34
75,51.29
76,51.3
77,51.17
78,50.94
79,50.84
80,50.99
